module_name,token_num,loss,accuracy
net_dict.attn_layers.0,1,6.399116992950437,0.1867058426141739
net_dict.attn_layers.0,2,7.419670581817624,0.10958903282880783
net_dict.attn_layers.0,3,7.782610416412357,0.061312418431043625
net_dict.attn_layers.0,4,7.876268386840818,0.048431385308504105
net_dict.attn_layers.0,5,7.933129787445069,0.04651620239019394
net_dict.attn_layers.1,1,6.432854652404781,0.1921798437833786
net_dict.attn_layers.1,2,7.514204025268557,0.11330724507570267
net_dict.attn_layers.1,3,7.912977695465082,0.0687561109662056
net_dict.attn_layers.1,4,8.020760536193851,0.05529410392045975
net_dict.attn_layers.1,5,8.05893230438232,0.046319931745529175
net_dict.attn_layers.2,1,6.321629047393802,0.20625607669353485
net_dict.attn_layers.2,2,7.462433338165287,0.11291586607694626
net_dict.attn_layers.2,3,7.841990947723392,0.06444663554430008
net_dict.attn_layers.2,4,7.9881229400634695,0.051960770040750504
net_dict.attn_layers.2,5,7.990804195404048,0.05004908889532089
net_dict.attn_layers.3,1,6.2128067016601545,0.2001955807209015
net_dict.attn_layers.3,2,7.359804630279536,0.11643832921981812
net_dict.attn_layers.3,3,7.730306625366207,0.06993144005537033
net_dict.attn_layers.3,4,7.87724590301514,0.05803920701146126
net_dict.attn_layers.3,5,7.913372516632084,0.04141315817832947
net_dict.attn_layers.4,1,6.163045406341549,0.20782020688056946
net_dict.attn_layers.4,2,7.3667302131652885,0.11643832921981812
net_dict.attn_layers.4,3,7.756094455718999,0.06993144005537033
net_dict.attn_layers.4,4,7.8619446754455495,0.058431368321180344
net_dict.attn_layers.4,5,7.9230465888977015,0.050637874752283096
net_dict.attn_layers.5,1,6.1493754386901855,0.21036165952682495
net_dict.attn_layers.5,2,7.330051898956304,0.11076317727565765
net_dict.attn_layers.5,3,7.744271755218509,0.06777671724557877
net_dict.attn_layers.5,4,7.879494667053219,0.060980379581451416
net_dict.attn_layers.5,5,7.962332725524906,0.054367031902074814
net_dict.attn_layers.6,1,6.128158092498782,0.22013691067695618
net_dict.attn_layers.6,2,7.302166938781739,0.11350297927856445
net_dict.attn_layers.6,3,7.761281013488775,0.0781586766242981
net_dict.attn_layers.6,4,7.9118204116821325,0.05529410392045975
net_dict.attn_layers.6,5,8.002396583557127,0.044946011155843735
net_dict.attn_layers.7,1,6.0859708786010716,0.20782020688056946
net_dict.attn_layers.7,2,7.312495231628419,0.1156555563211441
net_dict.attn_layers.7,3,7.785925865173336,0.06777671724557877
net_dict.attn_layers.7,4,7.9218220710754395,0.06019606068730354
net_dict.attn_layers.7,5,8.011787414550781,0.044946011155843735
net_dict.attn_layers.8,1,6.036481857299803,0.21446722745895386
net_dict.attn_layers.8,2,7.260087490081791,0.12015653401613235
net_dict.attn_layers.8,3,7.706006050109869,0.07267385721206665
net_dict.attn_layers.8,4,7.876011848449702,0.055686261504888535
net_dict.attn_layers.8,5,7.962570667266845,0.05004908889532089
net_dict.attn_layers.9,1,5.971093654632567,0.22502440214157104
net_dict.attn_layers.9,2,7.242729663848877,0.12191780656576157
net_dict.attn_layers.9,3,7.727458477020264,0.07580802589654922
net_dict.attn_layers.9,4,7.890408992767331,0.058627475053071976
net_dict.attn_layers.9,5,7.955336093902592,0.054367031902074814
net_dict.attn_layers.10,1,5.969789981842038,0.21603134274482727
net_dict.attn_layers.10,2,7.2598261833190865,0.12191780656576157
net_dict.attn_layers.10,3,7.75927400588989,0.07522038370370865
net_dict.attn_layers.10,4,7.939064025878911,0.060392167419195175
net_dict.attn_layers.10,5,8.028931617736816,0.047301284968853
